"id","sex","condition","alertness"
"1","male","coffee",4.08
"2","female","water",2.53
"3","male","coffee",3.13
"4","male","tea",3.48
"5","female","water",2.55
"6","female","water",3.76
"7","male","coffee",5.41
"8","female","water",3.38
"9","female","water",3.72
"10","female","tea",4.43
"11","male","coffee",4.68
"12","female","water",2.86
"13","female","tea",2.79
"14","male","water",1.38
"15","male","tea",2.64
"16","male","water",4.91
"17","female","water",3.57
"18","female","tea",3.69
"19","male","water",2.18
"20","female","water",3.04
"21","male","coffee",4.83
"22","female","water",3.01
"23","female","tea",4.05
"24","female","tea",3.41
"25","male","tea",4.21
"26","female","tea",4.69
"27","female","water",3.75
"28","male","coffee",4.81
"29","female","water",4.91
"30","female","water",4.85
"31","female","water",4.35
"32","female","tea",2.79
"33","male","water",4.33
"34","female","coffee",4.5
"35","female","water",4.05
"36","male","tea",3.14
"37","male","water",4.17
"38","male","coffee",4.96
"39","male","water",4.01
"40","male","tea",3.88
"41","male","tea",4.66
"42","female","tea",4.44
"43","female","water",2.75
"44","female","water",3.51
"45","male","water",3.71
"46","female","tea",3.13
"47","female","coffee",5.78
"48","female","coffee",4.34
"49","female","coffee",4.05
"50","female","water",3.43
"51","female","coffee",4.84
"52","male","tea",4.08
"53","female","coffee",5.03
"54","female","water",2.96
"55","female","water",2.84
"56","female","water",3.83
"57","female","coffee",4.27
"58","male","tea",2.88
"59","male","water",3.81
"60","female","tea",3.84
"61","female","tea",3.72
"62","female","coffee",7
"63","male","tea",5.24
"64","female","coffee",5.44
"65","female","water",2.25
"66","female","water",3.46
"67","female","tea",4.65
"68","male","coffee",4.32
"69","male","tea",4.82
"70","female","tea",5.09
"71","male","tea",3.48
"72","female","tea",2.72
"73","female","coffee",4.7
"74","male","water",2.66
"75","male","tea",4.02
"76","female","tea",3.8
"77","female","tea",4.49
"78","female","coffee",4.26
"79","male","tea",4.3
"80","female","tea",4.24
"81","male","water",3.28
"82","male","water",2.87
"83","male","coffee",5.01
"84","male","water",1.61
"85","female","coffee",5.07
"86","male","coffee",4.07
"87","male","water",2.75
"88","female","coffee",4.87
"89","male","water",2.92
"90","female","coffee",5.11
"91","male","tea",5.46
"92","male","coffee",5.25
"93","female","coffee",6.25
"94","female","coffee",4.79
"95","male","coffee",5.2
"96","male","coffee",6.17
"97","male","water",2.65
"98","female","water",3.4
"99","female","tea",3.52
"100","female","coffee",6
"101","female","water",2.08
"102","male","coffee",4.7
"103","male","coffee",5.95
"104","female","tea",5.14
"105","female","tea",3.09
"106","female","tea",2.63
"107","female","coffee",3.85
"108","female","tea",4.6
"109","female","coffee",5
"110","male","tea",3.93
"111","male","water",1.65
"112","female","water",3.45
"113","female","water",2.4
"114","female","tea",4.46
"115","female","coffee",4.06
"116","female","coffee",3.71
"117","male","coffee",4.58
"118","female","water",3.04
"119","male","water",3.18
"120","male","coffee",5.63
"121","male","water",2.21
"122","female","water",4.5
"123","female","tea",4.77
"124","male","coffee",5.18
"125","male","tea",3.74
"126","female","tea",2.63
"127","male","tea",3.72
"128","female","tea",4.61
"129","female","tea",4.34
"130","male","water",3.39
"131","male","water",1.92
"132","female","water",2.37
"133","female","tea",3.05
"134","male","water",3.07
"135","female","coffee",5.25
"136","female","water",4.52
"137","female","tea",5.47
"138","female","coffee",3.06
"139","female","coffee",5.34
"140","female","water",2.05
"141","male","coffee",4.55
"142","female","tea",5.24
"143","male","coffee",5.8
"144","male","water",3.41
"145","female","water",3.28
"146","male","water",3.01
"147","male","tea",3.84
"148","female","tea",5.46
"149","female","tea",4.76
"150","male","water",3.52
"151","male","tea",2.76
"152","male","coffee",3.27
"153","male","coffee",3.82
"154","female","tea",5.58
"155","male","water",3.79
"156","female","coffee",4.35
"157","male","water",3.46
"158","female","water",3.21
"159","male","tea",5.26
"160","female","coffee",6.31
"161","male","tea",3.81
"162","female","coffee",5.76
"163","female","water",5.25
"164","female","coffee",6.45
"165","male","tea",3.92
"166","female","water",3.07
"167","female","tea",5.41
"168","female","water",3.71
"169","female","tea",3.98
"170","female","tea",3.39
"171","male","coffee",4.77
"172","male","tea",3.37
"173","male","coffee",5.38
"174","male","coffee",4.59
"175","female","tea",4.57
"176","male","tea",4.45
"177","male","water",3.48
"178","male","water",2.56
"179","male","tea",3.72
"180","female","coffee",4.93
"181","male","water",2.93
"182","male","tea",4.37
"183","male","water",3.24
"184","male","water",2.08
"185","female","water",3.37
"186","female","tea",4.77
"187","female","tea",5.46
"188","female","coffee",3.5
"189","female","tea",3.77
"190","male","coffee",3.92
"191","male","water",1.77
"192","male","tea",5.11
"193","female","water",2.55
"194","male","coffee",4.92
"195","male","tea",4.8
"196","male","tea",3.45
"197","female","coffee",4
"198","female","tea",2.95
"199","female","tea",3.32
"200","male","coffee",4.39
"201","male","tea",5.96
"202","female","tea",4.88
"203","male","coffee",5.08
"204","female","tea",4.31
"205","male","tea",3.93
"206","female","coffee",4.96
"207","female","coffee",4.91
"208","female","coffee",5.96
"209","male","tea",4.72
"210","male","coffee",5.91
"211","male","water",3.5
"212","male","water",4.07
"213","female","water",3.6
"214","male","coffee",5.53
"215","female","coffee",4.55
"216","male","coffee",3.93
"217","female","water",3.73
"218","female","water",2.25
"219","male","tea",5.05
"220","female","coffee",4.84
"221","female","tea",3.35
"222","female","tea",3.44
"223","female","coffee",3.89
"224","female","water",3.5
"225","female","water",4.86
"226","female","water",5.1
"227","female","coffee",4.77
"228","male","tea",4.21
"229","male","tea",4.66
"230","female","coffee",4.7
"231","male","tea",1.96
"232","female","tea",4.12
"233","male","coffee",4.98
"234","male","tea",3.48
"235","female","water",3.02
"236","male","coffee",4.41
"237","female","water",2.42
"238","male","coffee",5.51
"239","male","water",2.91
"240","male","coffee",5.06
"241","male","water",2.9
"242","male","coffee",4.54
"243","male","water",4.04
"244","male","coffee",4.58
"245","female","tea",3.9
"246","female","coffee",4.28
"247","male","tea",4.51
"248","male","water",3.95
"249","male","water",3.2
"250","male","water",4.27
"251","female","coffee",4.41
"252","male","coffee",4.45
"253","male","tea",3.47
"254","male","tea",3.79
"255","female","water",4.52
"256","male","water",3.07
"257","female","tea",3.45
"258","male","tea",1
"259","female","water",2.99
"260","male","tea",3.37
"261","male","tea",4.58
"262","male","tea",4.73
"263","female","coffee",5.83
"264","female","coffee",3.57
"265","female","coffee",5.36
"266","female","coffee",4.8
"267","male","tea",3.7
"268","male","coffee",4.75
"269","female","coffee",3.95
"270","male","coffee",4.17
"271","female","water",2.89
"272","female","tea",2.17
"273","male","coffee",4.15
"274","female","coffee",3.75
"275","male","water",3.76
"276","female","water",3.45
"277","male","coffee",4.89
"278","female","water",4.45
"279","male","water",3.01
"280","male","water",4.54
"281","female","tea",4.99
"282","female","tea",4.04
"283","female","coffee",4.88
"284","female","coffee",3.1
"285","female","coffee",3.52
"286","female","water",3.04
"287","male","tea",3.98
"288","female","tea",4.07
"289","female","water",1.87
"290","female","coffee",5.35
"291","female","water",2.17
"292","female","coffee",3.52
"293","female","tea",3.89
"294","female","water",2.07
"295","female","water",2.17
"296","male","water",2.49
"297","female","water",2.91
"298","female","tea",4.66
"299","female","coffee",5.61
"300","female","coffee",5
